[-60.10482, 118.879403, 131.782298, 51.46221, 72.490678, -198.501629]
[-62.625662, 89.260121, 85.620406, 51.46221, 72.490678, -198.501629]
[-62.625662, 89.260121, 85.620406, 42.317861, 59.250139, 4.962903]
[-62.625662, 89.260121, 85.557897, 42.317861, 59.250139, 4.962903]
[-62.625662, 89.761058, 85.620406, 42.317861, 59.250597, 4.962903]
[-62.625662, 89.791367, 85.620406, 42.317861, 59.250368, 0.0]
[-62.625662, 89.791367, 85.620406, 42.317861, 59.32044, 0.0]
[-62.625662, 89.791367, 85.620406, 42.317861, 59.504016, 0.0]
[-62.625662, 89.791367, 85.542026, 42.317861, 59.753998, 0.0]
[-62.625662, 89.791367, 85.542026, 42.349602, 59.753998, 0.0]
[-62.625662, 89.791367, 85.542026, 42.348858, 59.750102, 0.0]
[-62.625662, 89.791367, 85.542255, 42.318204, 59.691545, 0.0]
[-62.625662, 89.791367, 85.557839, 42.349602, 59.691545, -0.0]
[-62.625662, 89.791367, 85.556923, 42.38037, 59.691545, -0.0]
[-62.625204, 89.791367, 85.557954, 42.38037, 59.691545, -0.0]
[-62.625662, 89.78369, 85.550334, 42.38037, 59.691545, -0.0]
[-62.625662, 89.78369, 85.556923, 42.412055, 59.691545, -0.0]
[-62.625662, 89.7767, 85.542255, 42.412055, 59.691545, -0.0]
[-62.625662, 89.7767, 85.556923, 42.442823, 59.644677, -0.0]
[-62.625662, 89.7767, 85.558069, 42.442823, 59.644677, -0.0]
[-62.625662, 89.7767, 85.55847, 42.442823, 59.644677, -0.0]
[-62.626178, 89.7767, 85.557897, 42.442823, 59.644677, -0.0]
[-62.626178, 89.7767, 85.557897, 42.438927, 59.646625, -0.0]
[-62.626636, 89.7767, 85.557954, 42.442823, 59.646855, -0.0]
[-62.626636, 89.7767, 85.55847, 42.442594, 59.646855, -0.0]
[-62.626636, 89.7767, 85.558355, 42.442594, 59.646855, -0.0]
[-62.626923, 89.7767, 85.558241, 42.442823, 59.646855, -0.0]
[-62.626923, 89.7767, 85.558241, 42.442594, 59.647771, -0.0]
[-62.626923, 89.7767, 85.558241, 42.44288, 59.648287, -0.0]
[-62.626923, 89.7767, 85.558069, 42.44288, 59.648287, -0.0]
[-62.626923, 89.776814, 85.558241, 42.442823, 59.648287, -0.0]
[-62.626923, 89.7767, 85.558069, 42.44288, 59.648402, -0.0]
[-62.626923, 89.776814, 85.558241, 42.442823, 59.648459, -0.0]
[-62.626923, 89.776814, 85.558241, 42.442823, 59.648459, -0.0]
[-62.626923, 89.776814, 85.558183, 42.442765, 59.648459, -0.0]
[-62.626923, 89.776814, 85.558183, 42.442708, 59.648459, -0.0]
[-62.626923, 89.776814, 85.558183, 42.442708, 59.648459, -0.0]
[-62.626923, 89.776814, 85.558183, 42.442708, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, 0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, 0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, 0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
[-62.626923, 89.777101, 85.558584, 42.442594, 59.648459, -0.0]
